trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,2,-125.43640573934314,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.95}",20,0,-92.15639110099936,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.85}",20,0,-90.00023336924006,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7}",25,0,-149.59168170091155,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.49999999999999994}",25,0,-66.71100795812222,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.24999999999999994}",30,7,-59.92420134547681,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': -0.0500000000000001}",20,0,-22.44379836749542,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': -0.40000000000000013}",20,16,6.879910650566468,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': -0.8000000000000002}",20,12,15.969398231724021,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': -1.2500000000000002}",20,10,14.57371273584521,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': -1.7500000000000002}",35,16,13.433993477671516,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': -2.3000000000000003}",20,9,-72.16786471033475,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': -2.9000000000000004}",20,10,-14.109399916519736,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': -3.5500000000000003}",20,8,17.498690641970132,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': -4.25}",25,12,-28.984933658434276,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': -5.0}",30,18,22.24288336908503,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': -5.8}",30,0,7.6665794083328045,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': -6.65}",30,16,23.4459289019459,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': -7.550000000000001}",20,12,13.441769479072148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -8.5}",25,14,-8.211528394807425,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,3,-27.807360404696002,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,3,3.65711325885136,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,13,13.421318796181573,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,11,31.796615061480892,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,11,15.835019361337219,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,32.7460112511587,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,10,17.713660347415086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,5,-20.698782799728164,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,3,22.368173346719285,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,8,-13.002141791299167,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
